Symbol,2 Year CAGR,5 Year CAGR,10 Year CAGR,Average CAGR 2 & 5,Average CAGR All,Name,Sector
NVDA,37.14620678552192,35.844080991045615,48.94122681115305,36.49514388828376,40.64383819590686,Nvidia Corporation,Information Technology
AVGO,36.56141694137032,17.797617089848416,32.28554150523693,27.179517015609367,28.881525178818553,Broadcom,Information Technology
AMD,31.83012706733066,52.89606491640792,31.428879009483502,42.363095991869294,38.7183569977407,Advanced Micro Devices Inc,Information Technology
CDNS,26.72298329791909,33.065799521689996,30.542937931130254,29.89439140980454,30.11057358357978,Cadence Design Systems,Information Technology
ADBE,1.6025230292416648,22.982177095475897,29.09247425397423,12.292350062358782,17.89239145956393,Adobe Systems Inc,Information Technology
LRCX,31.622619250196692,25.03053895606604,28.948989994368123,28.326579103131365,28.534049400210282,Lam Research,Information Technology
STZ,16.52664929854799,5.113159969861658,28.37517832456733,10.819904634204825,16.671662530992325,Constellation Brands,Consumer Staples
MU,19.921356113588963,17.4947186810924,27.99135514483617,18.708037397340682,21.80247664650584,Micron Technology,Information Technology
TMO,26.08815244330025,26.29273111792594,27.09518630880501,26.190441780613092,26.492023290010398,Thermo Fisher Scientific,Health Care
SNPS,30.208626389156777,32.58269713483375,26.36257354707585,31.395661761995264,29.71796569035546,Synopsys Inc.,Information Technology
AMAT,37.65828683694497,18.334834507854403,26.272452045457516,27.996560672399685,27.421857796752295,Applied Materials Inc,Information Technology
AMZN,-6.136393297011367,16.688955804759043,26.026242716189163,5.276281253873838,12.192935074645613,Amazon.com Inc,Consumer Discretionary
CTAS,21.096909192684386,23.634081398586982,25.707774337705303,22.365495295635682,23.47958830965889,Cintas Corporation,Industrials
EA,3.1565598131445993,2.9025174316559044,25.380436936899375,3.029538622400252,10.479838060566626,Electronic Arts,Information Technology
CNC,13.243767180376963,18.52929285115774,25.120547169385254,15.886530015767352,18.964535733639988,Centene Corporation,Health Care
ALGN,5.819590658554308,13.628128338876566,24.303223026174713,9.723859498715438,14.583647341201862,Align Technology,Health Care
IDXX,9.776857607320943,17.192283865323233,24.257918412121814,13.484570736322087,17.07568662825533,IDEXX Laboratories,Health Care
UNH,26.227611539965203,22.625865788837054,24.165067489035952,24.426738664401128,24.3395149392794,United Health Group Inc.,Health Care
MSFT,17.39788981293058,29.315943066127126,24.083217468614304,23.356916439528852,23.59901678255734,Microsoft Corp.,Information Technology
MA,5.701717486081415,22.297656227244023,23.523634582221177,13.999686856662718,17.17433609851554,Mastercard Inc.,Information Technology
MTD,24.818356377330208,16.273142672634975,23.011737229205885,20.54574952498259,21.367745426390353,Mettler Toledo,Health Care
MCO,4.007070623925513,19.551124387881647,22.968562672064373,11.779097505903579,15.508919227957177,Moody's Corp,Financials
SPGI,2.6418649475841605,19.11325853917505,22.949554137741135,10.877561743379605,14.901559208166782,"S&P Global, Inc.",Financials
HCA,38.40599835067522,20.11302873333065,22.92723864738262,29.259513542002935,27.148755243796163,HCA Holdings,Health Care
URI,39.4061891722026,19.943615859288855,22.822718175239064,29.67490251574573,27.390841068910174,"United Rentals, Inc.",Industrials
GOOG,23.693517924855414,17.773478684931533,22.413274141509444,20.733498304893473,21.293423583765463,Alphabet Inc Class C,Information Technology
NOC,15.003627942598708,11.329874597225832,22.397324236831253,13.16675126991227,16.24360892555193,Northrop Grumman Corp.,Industrials
GOOGL,23.265913696074648,17.151161656104797,22.309833646800193,20.208537676089723,20.908969666326545,Alphabet Inc Class A,Information Technology
KLAC,38.07858865936582,26.39405926628784,22.02580388551858,32.23632396282683,28.83281727039075,KLA-Tencor Corp.,Information Technology
ANTM,29.450132224221793,22.000552320714696,22.01463676828417,25.725342272468247,24.488440437740223,Anthem Inc.,Health Care
LLY,39.782208606275574,30.298909951919327,21.988793342346135,35.04055927909745,30.689970633513678,Lilly (Eli) & Co.,Health Care
LOW,19.032667344576847,18.581383233161432,21.327903840697516,18.80702528886914,19.6473181394786,Lowe's Cos.,Consumer Discretionary
V,0.9659334034306966,15.885459767904031,21.32564432621058,8.425696585667364,12.725679165848435,Visa Inc.,Information Technology
BSX,1.6059509979749143,7.72892080098071,21.187987311530154,4.6674358994778125,10.174286370161926,Boston Scientific,Health Care
NDAQ,11.066691962520213,16.65257170198653,20.911945683928536,13.859631832253372,16.21040311614509,"Nasdaq, Inc.",Financials
AAPL,31.568171370790864,29.21931761258736,20.893234044328523,30.393744491689112,27.22690767590225,Apple Inc.,Information Technology
EW,12.212606674498772,19.716107259653537,20.821709302696934,15.964356967076155,17.58347441228308,Edwards Lifesciences,Health Care
ATVI,3.696608677989155,5.730020804943248,20.75560220496935,4.713314741466201,10.060743895967251,Activision Blizzard,Information Technology
INTU,12.552610015881527,21.198110801504978,20.65963374418638,16.875360408693254,18.13678485385763,Intuit Inc.,Information Technology
DHR,22.935505834896052,24.276408047180208,20.38012232855584,23.60595694103813,22.530678736877366,Danaher Corp.,Health Care
RMD,10.863697952470307,22.690190710764725,20.360432376325967,16.776944331617514,17.971440346520332,ResMed,Health Care
VLO,35.846908045288785,14.877309553056639,20.353004799544717,25.362108799172713,23.69240746596338,Valero Energy,Energy
SBAC,1.9686509158241883,18.773490740863387,20.183741733845185,10.371070828343788,13.641961130177586,SBA Communications,Real Estate
IT,43.33737791537264,15.892587914318845,19.91205701970664,29.614982914845744,26.38067428313271,Gartner Inc,Information Technology
EXR,33.092808202106625,17.21017587599234,19.708610962587827,25.151492039049483,23.337198346895594,Extra Space Storage,Real Estate
ADSK,-4.614999710463607,11.359655498060594,19.578838248621032,3.3723278937984933,8.774498012072673,Autodesk Inc,Information Technology
ORLY,17.144346545025968,18.78837359351211,19.577877855159432,17.966360069269037,18.503532664565835,O'Reilly Automotive,Consumer Discretionary
SHW,14.153708959451649,18.457876143475225,19.561616651515944,16.305792551463437,17.391067251480937,Sherwin-Williams,Materials
TXN,19.586762727207784,15.534687148817582,19.548003543002412,17.560724938012683,18.223151139675924,Texas Instruments,Information Technology
MS,34.003783103694296,13.715793617586014,19.50470243499276,23.859788360640156,22.408093052091022,Morgan Stanley,Financials
CI,14.676582876240897,9.985378431750558,19.441628874787554,12.330980653995727,14.701196727593002,CIGNA Corp.,Health Care
HD,7.507544655705467,13.34608712576304,19.260607450745937,10.426815890734254,13.371413077404815,Home Depot,Consumer Discretionary
HUM,3.467226612408103,13.61105824021871,19.12532350661691,8.539142426313408,12.067869453081242,Humana Inc.,Health Care
AVY,21.918047745626158,14.316491576103306,18.90835437864098,18.117269660864732,18.380964566790148,Avery Dennison Corp,Materials
AON,15.49423483473349,14.947823129800252,18.905615066139347,15.221028982266871,16.4492243435577,Aon plc,Financials
PKG,21.23838866660954,7.84897998688312,18.70637525388883,14.54368432674633,15.931247969127163,Packaging Corporation of America,Materials
PKI,20.8484956779035,18.4003498937821,18.62158595701311,19.6244227858428,19.29014384289957,PerkinElmer,Health Care
MPC,65.76687420555713,13.15975281451669,18.268233566311622,39.46331351003691,32.39828686212848,Marathon Petroleum,Energy
AMP,35.19352672353557,16.210452521040295,18.242612147294302,25.701989622287932,23.215530463956725,Ameriprise Financial,Financials
AIZ,31.049275306746637,12.449855051759084,18.09854862086704,21.749565179252862,20.53255965979092,Assurant Inc,Financials
APH,19.052808695793043,12.903536024457885,17.800641485350166,15.978172360125464,16.585662068533697,Amphenol Corp,Information Technology
LMT,4.495540924375474,8.573153730990501,17.746745252838213,6.534347327682988,10.27181330273473,Lockheed Martin Corp.,Industrials
PGR,19.53286039916977,21.205453717273315,17.71245369466101,20.369157058221543,19.483589270368032,Progressive Corp.,Financials
SCHW,32.74724891167684,10.305952985738486,17.645370515294047,21.526600948707664,20.232857470903124,Charles Schwab Corporation,Financials
AOS,10.281935780658081,1.0353810789876183,17.47613681031033,5.65865842982285,9.597817889985343,A.O. Smith Corp,Industrials
