Symbol,2 Year CAGR,5 Year CAGR,10 Year CAGR,Average CAGR 2 & 5,Average CAGR All,Name,Sector
PWR,74.92406697847116,29.80794033824119,17.47229426897765,52.36600365835618,40.73476719523,Quanta Services Inc.,Industrials
NVDA,37.14620678552192,35.844080991045615,48.94122681115305,36.49514388828376,40.64383819590686,Nvidia Corporation,Information Technology
AMD,31.83012706733066,52.89606491640792,31.428879009483502,42.363095991869294,38.7183569977407,Advanced Micro Devices Inc,Information Technology
MPC,65.76687420555713,13.15975281451669,18.268233566311622,39.46331351003691,32.39828686212848,Marathon Petroleum,Energy
LLY,39.782208606275574,30.298909951919327,21.988793342346135,35.04055927909745,30.689970633513678,Lilly (Eli) & Co.,Health Care
CDNS,26.72298329791909,33.065799521689996,30.542937931130254,29.89439140980454,30.11057358357978,Cadence Design Systems,Information Technology
SNPS,30.208626389156777,32.58269713483375,26.36257354707585,31.395661761995264,29.71796569035546,Synopsys Inc.,Information Technology
AVGO,36.56141694137032,17.797617089848416,32.28554150523693,27.179517015609367,28.881525178818553,Broadcom,Information Technology
KLAC,38.07858865936582,26.39405926628784,22.02580388551858,32.23632396282683,28.83281727039075,KLA-Tencor Corp.,Information Technology
LRCX,31.622619250196692,25.03053895606604,28.948989994368123,28.326579103131365,28.534049400210282,Lam Research,Information Technology
AMAT,37.65828683694497,18.334834507854403,26.272452045457516,27.996560672399685,27.421857796752295,Applied Materials Inc,Information Technology
URI,39.4061891722026,19.943615859288855,22.822718175239064,29.67490251574573,27.390841068910174,"United Rentals, Inc.",Industrials
AAPL,31.568171370790864,29.21931761258736,20.893234044328523,30.393744491689112,27.22690767590225,Apple Inc.,Information Technology
HCA,38.40599835067522,20.11302873333065,22.92723864738262,29.259513542002935,27.148755243796163,HCA Holdings,Health Care
DE,43.51390285017875,20.66907962650766,15.54485550383744,32.09149123834321,26.575945993507954,Deere & Co.,Industrials
TMO,26.08815244330025,26.29273111792594,27.09518630880501,26.190441780613092,26.492023290010398,Thermo Fisher Scientific,Health Care
IT,43.33737791537264,15.892587914318845,19.91205701970664,29.614982914845744,26.38067428313271,Gartner Inc,Information Technology
ANTM,29.450132224221793,22.000552320714696,22.01463676828417,25.725342272468247,24.488440437740223,Anthem Inc.,Health Care
UNH,26.227611539965203,22.625865788837054,24.165067489035952,24.426738664401128,24.3395149392794,United Health Group Inc.,Health Care
VLO,35.846908045288785,14.877309553056639,20.353004799544717,25.362108799172713,23.69240746596338,Valero Energy,Energy
MSFT,17.39788981293058,29.315943066127126,24.083217468614304,23.356916439528852,23.59901678255734,Microsoft Corp.,Information Technology
CTAS,21.096909192684386,23.634081398586982,25.707774337705303,22.365495295635682,23.47958830965889,Cintas Corporation,Industrials
EXR,33.092808202106625,17.21017587599234,19.708610962587827,25.151492039049483,23.337198346895594,Extra Space Storage,Real Estate
AMP,35.19352672353557,16.210452521040295,18.242612147294302,25.701989622287932,23.215530463956725,Ameriprise Financial,Financials
DHR,22.935505834896052,24.276408047180208,20.38012232855584,23.60595694103813,22.530678736877366,Danaher Corp.,Health Care
MS,34.003783103694296,13.715793617586014,19.50470243499276,23.859788360640156,22.408093052091022,Morgan Stanley,Financials
AJG,28.22008633420372,22.265459289768952,16.131540301578127,25.242772811986335,22.205695308516933,Arthur J. Gallagher & Co.,Financials
MU,19.921356113588963,17.4947186810924,27.99135514483617,18.708037397340682,21.80247664650584,Micron Technology,Information Technology
AZO,24.236208694080965,23.935009398289875,16.635421743347045,24.085609046185418,21.602213278572624,AutoZone Inc,Consumer Discretionary
MTD,24.818356377330208,16.273142672634975,23.011737229205885,20.54574952498259,21.367745426390353,Mettler Toledo,Health Care
GOOG,23.693517924855414,17.773478684931533,22.413274141509444,20.733498304893473,21.293423583765463,Alphabet Inc Class C,Information Technology
GOOGL,23.265913696074648,17.151161656104797,22.309833646800193,20.208537676089723,20.908969666326545,Alphabet Inc Class A,Information Technology
AIZ,31.049275306746637,12.449855051759084,18.09854862086704,21.749565179252862,20.53255965979092,Assurant Inc,Financials
