,Date,SPY,AAPL
0,2017-06-01,241.8000030517578,36.005001068115234
2,2017-07-01,246.77000427246094,37.182498931884766
3,2017-08-01,247.49000549316406,41.0
5,2017-09-01,251.22999572753906,38.529998779296875
7,2017-10-01,257.1499938964844,42.2599983215332
8,2017-11-01,265.010009765625,42.962501525878906
10,2017-12-01,266.8599853515625,42.307498931884766
12,2018-01-01,281.8999938964844,41.85749816894531
13,2018-02-01,271.6499938964844,44.529998779296875
15,2018-03-01,263.1499938964844,41.94499969482422
17,2018-04-01,264.510009765625,41.314998626708984
18,2018-05-01,270.94000244140625,46.717498779296875
20,2018-06-01,271.2799987792969,46.27750015258789
22,2018-07-01,281.3299865722656,47.5724983215332
23,2018-08-01,290.30999755859375,56.907501220703125
25,2018-09-01,290.7200012207031,56.435001373291016
27,2018-10-01,270.6300048828125,54.71500015258789
28,2018-11-01,275.6499938964844,44.64500045776367
30,2018-12-01,249.9199981689453,39.435001373291016
32,2019-01-01,269.92999267578125,41.61000061035156
33,2019-02-01,278.67999267578125,43.287498474121094
35,2019-03-01,282.4800109863281,47.48749923706055
37,2019-04-01,294.0199890136719,50.16749954223633
38,2019-05-01,275.2699890136719,43.76750183105469
40,2019-06-01,293.0,49.47999954223633
42,2019-07-01,297.42999267578125,53.2599983215332
43,2019-08-01,292.45001220703125,52.185001373291016
45,2019-09-01,296.7699890136719,55.99250030517578
47,2019-10-01,303.3299865722656,62.189998626708984
48,2019-11-01,314.30999755859375,66.8125
50,2019-12-01,321.8599853515625,73.4124984741211
52,2020-01-01,321.7300109863281,77.37750244140625
53,2020-02-01,296.260009765625,68.33999633789062
55,2020-03-01,257.75,63.5724983215332
57,2020-04-01,290.4800109863281,73.44999694824219
58,2020-05-01,304.32000732421875,79.48500061035156
60,2020-06-01,308.3599853515625,91.19999694824219
62,2020-07-01,326.5199890136719,106.26000213623047
63,2020-08-01,349.30999755859375,129.0399932861328
66,2020-09-01,334.8900146484375,115.80999755859375
68,2020-10-01,326.5400085449219,108.86000061035156
69,2020-11-01,362.05999755859375,119.05000305175781
71,2020-12-01,373.8800048828125,132.69000244140625
73,2021-01-01,370.07000732421875,131.9600067138672
74,2021-02-01,380.3599853515625,121.26000213623047
76,2021-03-01,396.3299865722656,122.1500015258789
78,2021-04-01,417.29998779296875,131.4600067138672
79,2021-05-01,420.0400085449219,124.61000061035156
81,2021-06-01,428.05999755859375,136.9600067138672
83,2021-07-01,438.510009765625,145.86000061035156
84,2021-08-01,451.55999755859375,151.8300018310547
86,2021-09-01,429.1400146484375,141.5
88,2021-10-01,459.25,149.8000030517578
89,2021-11-01,455.55999755859375,165.3000030517578
91,2021-12-01,474.9599914550781,177.57000732421875
93,2022-01-01,449.9100036621094,174.77999877929688
94,2022-02-01,436.6300048828125,165.1199951171875
96,2022-03-01,451.6400146484375,174.61000061035156
98,2022-04-01,412.0,157.64999389648438
99,2022-05-01,389.6300048828125,137.58999633789062
101,2022-05-20,389.6300048828125,137.58999633789062
