,cik,ticker,name,date,shares,netincome,revenue,pe
0,910406,HAIN,"THE HAIN CELESTIAL GROUP, INC.",2009-06-30,40483000.0,-24723000.0,1122734000.0,0.28142891196902603
1,779152,JKHY,HENRY JACK & ASSOCIATES INC,2009-06-30,84118000.0,103102000.0,745593000.0,2.341020503143136
2,7084,ADM,ARCHER-DANIELS-MIDLAND CO,2009-06-30,643000000.0,1684000000.0,69207000000.0,0.24871920895779387
3,16058,CACI,CACI International Inc,2009-06-30,29976000.0,89698000.0,2730162000.0,0.46893734970897416
5,820318,IIVI,II-VI INC,2009-06-30,59334.0,36781000.0,292222000.0,0.002256836913098689
6,1357450,HOLI,"HOLLYSYS AUTOMATION TECHNOLOGIES, LTD.",2009-06-30,44950833.0,-13851064.0,157502067.0,1.6553105933123466
7,8670,ADP,"Automatic     Data Processing, Inc.",2009-06-30,503200000.0,1332600000.0,8838400000.0,1.7714829158299563
8,899923,MYGN,"MYRIAD GENETICS, INC.",2009-06-30,93492000.0,84615000.0,326527000.0,10.207394618691474
9,1002638,OTEX,OPEN TEXT CORP,2009-06-30,52030000.0,56938000.0,785665000.0,0.6029708924065043
10,721371,CAH,"Cardinal Health, Inc.",2009-06-30,357600000.0,1151600000.0,95991500000.0,0.1138088239810072
11,789019,MSFT,Microsoft Corporation,2009-06-30,8945000000.0,14569000000.0,58437000000.0,3.6384936614592815
12,1041514,LSAK,"Net 1 UEPS Technologies, Inc.",2009-06-30,56552000.0,86601000.0,246822000.0,3.1137487283514047
14,717954,UNF,UNIFIRST CORPORATION,2009-08-29,19329000.0,75852000.0,1013416000.0,0.7423256043002517
15,909832,COST,COSTCO WHOLESALE CORP /NEW,2009-08-30,433988000.0,1086000000.0,71422000000.0,0.3007813558847414
16,22444,CMC,COMMERCIAL METALS Co,2009-08-31,112391180.0,20802000.0,6409376000.0,0.2968748770081621
17,1013237,FDS,FactSet Research Systems Inc.,2009-08-31,47158000.0,144950000.0,622023000.0,4.172798052764027
18,1467373,ACN,Accenture plc,2009-08-31,623007198.0,1589963000.0,23170968000.0,0.8872843609295908
19,1308547,DLB,"DOLBY LABORATORIES, INC.",2009-09-25,113101000.0,242991000.0,719503000.0,6.132107607840032
20,833444,JCI,JOHNSON CONTROLS INTERNATIONAL PLC,2009-09-25,473000000.0,-1798000000.0,16882000000.0,0.4621680098932341
21,859737,HOLX,"HOLOGIC, INC",2009-09-26,256545000.0,-2216642000.0,1637134000.0,2.579343209001852
22,807882,JACK,JACK IN THE BOX INC /NEW/,2009-09-27,56795000.0,118408000.0,2471096000.0,0.4686382137056121
23,829224,SBUX,Starbucks Corporation,2009-09-27,738700000.0,390800000.0,9774600000.0,0.7175696617214509
24,58361,LEE,"LEE ENTERPRISES, INCORPORATED",2009-09-27,,-123191000.0,842030000.0,
25,804328,QCOM,QUALCOMM INC/DE,2009-09-27,1656000000.0,1592000000.0,10387000000.0,7.400742944813078
27,876523,EZPW,"EZCORP, Inc.",2009-09-30,47372000.0,68472000.0,597456000.0,1.060100885385208
28,1417398,HI,"HILLENBRAND, INC.",2009-09-30,61700000.0,102300000.0,649100000.0,1.902994959550175
29,1140859,ABC,AMERISOURCEBERGEN CORP,2009-09-30,300573000.0,503397000.0,71759990000.0,0.08925879824504852
31,16040,CBT,CABOT CORP,2009-09-30,62800000.0,-77000000.0,2108000000.0,0.5895692872367728
32,1048268,IESC,"IES Holdings, Inc.",2009-09-30,14331614.0,-12067000.0,667037000.0,0.1791889549557682
33,1403161,V,VISA INC.,2009-09-30,,2353000000.0,6911000000.0,
34,1136352,CEQP,CRESTWOOD EQUITY PARTNERS LP,2009-09-30,,57100000.0,1570600000.0,
35,844059,FRPH,"FRP HOLDINGS, INC.",2009-09-30,9125.0,3753000.0,114553000.0,0.002044806776742488
36,808326,EMKR,EMCORE Corp,2009-09-30,79140000.0,-138801000.0,176356000.0,1.9027057876470974
37,913760,SNEX,StoneX Group Inc.,2009-09-30,8895697.0,27600000.0,43603700000.0,0.0033294828724454283
38,882184,DHI,"D.R. Horton, Inc.",2009-09-30,316900000.0,-549800000.0,3657600000.0,1.161862683629948
39,38777,BEN,"FRANKLIN RESOURCES, INC.",2009-09-30,230334000.0,896778000.0,4194087000.0,1.7085222315571222
40,1032220,MMS,"Maximus, Inc.",2009-09-30,35141000.0,46540000.0,720108000.0,0.5081261087298401
42,720005,RJF,"RAYMOND JAMES FINANCIAL, INC.",2009-09-30,117188000.0,152750000.0,2602519000.0,0.6829350220253512
43,52988,J,Jacobs Engineering Group Inc.,2009-10-02,122772000.0,399854000.0,11467376000.0,0.49194981429645307
44,883241,SNPS,SYNOPSYS INC,2009-10-31,143752000.0,167681000.0,1360045000.0,2.3697155983569713
45,315189,DE,DEERE & CO,2009-10-31,422800000.0,873500000.0,23112400000.0,0.785144564209259
46,357294,HOV,"HOVNANIAN ENTERPRISES, INC.",2009-10-31,78238000.0,-716712000.0,1596290000.0,4.705190159682765
47,47217,HPQ,HP INC.,2009-10-31,2388000000.0,7660000000.0,114552000000.0,0.44693907376682385
49,357294,HOVNP,"HOVNANIAN ENTERPRISES, INC.",2009-10-31,78238000.0,-716712000.0,1596290000.0,0.25045335775197486
50,796343,ADBE,ADOBE INC.,2009-11-27,524470000.0,386508000.0,2945853000.0,6.245528395453966
51,1408198,MSCI,MSCI INC.,2009-11-30,100607000.0,81801000.0,442948000.0,6.920666129926436
52,795266,KBH,KB HOME,2009-11-30,,-101784000.0,1824850000.0,
53,920760,LEN,LENNAR CORP /NEW/,2009-11-30,,-417147000.0,3119387000.0,
54,815097,CCL,Carnival Corporation,2009-11-30,787000000.0,1790000000.0,13157000000.0,1.915908568769981
55,277948,CSX,CSX CORPORATION,2009-12-25,1176000000.0,1143000000.0,9041000000.0,0.6862132461998476
57,853816,LSTR,LANDSTAR SYSTEM INC,2009-12-26,51095000.0,70395000.0,2008796000.0,0.9492578561521645
58,1041061,YUM,"YUM! BRANDS, INC.",2009-12-26,471000000.0,1071000000.0,10836000000.0,1.1021234722496531
59,1138639,INFN,INFINERA CORP,2009-12-26,95468000.0,-86622000.0,309101000.0,2.5418927674068272
60,949870,SAM,"The Boston Beer Company, Inc.",2009-12-26,14059000.0,31118000.0,415053000.0,1.4257054211034088
61,771266,KOPN,KOPIN CORPORATION,2009-12-26,66849890.0,19443370.0,114654757.0,2.5129617785925675
62,102729,VMI,"Valmont Industries, Inc.",2009-12-26,25951000.0,150562000.0,1843950000.0,1.0786000836035503
63,1324272,RUTH,"Ruth’s Hospitality Group, Inc.",2009-12-27,23566358.0,2419000.0,339911000.0,0.15044820161151135
64,39899,TGNA,TEGNA INC.,2009-12-27,233683000.0,355270000.0,5509603000.0,0.21944095749361997
65,901491,PZZA,PAPA JOHNS INTERNATIONAL INC,2009-12-27,27738000.0,57453000.0,1078550000.0,0.2844395638953484
66,71691,NYT,NEW YORK TIMES CO,2009-12-27,144188000.0,19891000.0,2440439000.0,0.4986589132104131
67,852772,DENN,DENNY’S CORPORATION,2009-12-30,96318.0,41554000.0,608103000.0,0.0003468761468227589
70,77281,PEI,Pennsylvania Real Estate Investment Trust,2009-12-31,40953000.0,-85738000.0,451306000.0,11.51532610355129
71,947484,ACGL,Arch Capital Group Ltd.,2009-12-31,178681083.0,876945000.0,3501622000.0,0.4056733067616345
75,78890,BCO,BRINKS CO,2009-12-31,47200000.0,200200000.0,3135000000.0,0.36645869448234397
76,68505,MSI,"Motorola Solutions, Inc.",2009-12-31,327900000.0,-51000000.0,6947000000.0,1.4806618117352641
77,11544,WRB,W. R. BERKLEY CORP,2009-12-31,160357000.0,309057000.0,4431178000.0,0.3963025816035429
78,80661,PGR,PROGRESSIVE CORP/OH/,2009-12-31,666800000.0,1057500000.0,14563600000.0,0.8236790249238919
82,354707,HE,"Hawaiian Electric Industries, Inc.",2009-12-31,91396000.0,83011000.0,2309590000.0,0.8270629701094969
83,764065,CLF,CLEVELAND-CLIFFS INC.,2009-12-31,124998000.0,205100000.0,2342000000.0,2.4599307596384206
84,97745,TMO,THERMO FISHER SCIENTIFIC INC.,2009-12-31,412400000.0,850300000.0,9741000000.0,2.0190283783651353
85,350894,SEIC,SEI INVESTMENTS COMPANY,2009-12-31,,174335000.0,1060548000.0,
87,4962,AXP,AMERICAN EXPRESS CO,2009-12-31,1168000000.0,2130000000.0,24523000000.0,1.9299172423711606
88,1172052,SAFT,"SAFETY INSURANCE GROUP, INC.",2009-12-31,15533331.0,54152000.0,591954000.0,0.9507032219047516
89,1046311,CHH,CHOICE HOTELS INTERNATIONAL INC /DE,2009-12-31,59514000.0,98250000.0,564178000.0,3.339749566482359
90,63908,MCD,MCDONALDS CORP,2009-12-31,1092200000.0,4551000000.0,22744700000.0,2.9983673778986555
