,cik,ticker,name,date,shares,netincome,revenue,pe,close,revenue growth for previous 2 years,income growth for previous 2 years,price growth for previous 2 years,price growth for next 2 years,revtimesincome,revplusincome,revtimesrev,inctimesinc,pricetimesrev,priceplusrev,priceplusrevplusinc,inctimestimesrev
0,1675149,AA,Alcoa Corp,2018-12-31,186000000.0,250000000.0,13403000000.0,0.441442953119845,31.809999465942383,0.199,-0.053,0.048,0.21,-0.010547,0.14600000000000002,0.039601000000000004,-0.002809,0.009552000000000001,0.247,0.194,-0.000111239209
1,1675149,AA,ALCOA CORP,2019-12-31,185000000.0,-1125000000.0,10433000000.0,0.3608501936712258,20.350000381469727,-0.054,-0.053,-0.3,0.512,0.002862,-0.107,-0.0029159999999999998,-0.002809,-0.0162,-0.354,-0.407,-8.191043999999999e-06
2,6201,AAL,AMERICAN AIRLINES GROUP INC.,2018-12-31,464236000.0,1412000000.0,44541000000.0,0.4185742953495253,40.15999984741211,0.053,-0.261,-0.07,-0.336,-0.013833,-0.20800000000000002,0.002809,-0.068121,-0.00371,-0.017000000000000008,-0.278,-0.000191351889
3,6201,AAL,American Airlines Group Inc.,2019-12-31,443363000.0,1686000000.0,45768000000.0,0.278409642512722,28.739999771118164,0.036,0.147,-0.246,-0.215,0.005291999999999999,0.183,0.0012959999999999998,0.021608999999999996,-0.008856,-0.21,-0.063,2.8005263999999992e-05
4,8177,AAME,ATLANTIC AMERICAN CORP,2013-12-31,21236000.0,11022000.0,165369000.0,0.513663383100823,4.0,0.182,0.83,0.418,-0.013,0.15106,1.012,0.033124,0.6889,0.07607599999999999,0.6,1.43,0.022819123599999998
5,1158114,AAOI,"Applied Optoelectronics, Inc.",2018-12-31,19646646.0,-2146000.0,267465000.0,1.512438801853851,20.59000015258789,0.013,0.54,-0.088,-0.464,0.00702,0.553,0.000169,0.2916,-0.0011439999999999998,-0.075,0.465,4.9280400000000003e-05
6,1158449,AAP,"ADVANCE AUTO PARTS, INC.",2018-12-29,73728000.0,423847000.0,9580554000.0,1.2294471567093093,159.75999450683594,0.001,-0.04,-0.03,0.175,-4e-05,-0.039,1e-06,-0.0016,-3e-05,-0.028999999999999998,-0.069,-1.6e-09
7,1158449,AAP,"ADVANCE AUTO PARTS, INC.",2019-12-28,70869000.0,486896000.0,9709003000.0,1.146575261101991,157.0800018310547,0.017,0.012,0.247,0.185,0.00020400000000000003,0.029,0.00028900000000000003,0.000144,0.0041990000000000005,0.264,0.276,4.161600000000001e-08
8,320193,AAPL,Apple Inc.,2018-09-29,19821510000.0,59531000000.0,265595000000.0,4.247040059192301,56.907501220703125,0.11,0.141,0.478,0.601,0.015509999999999998,0.251,0.0121,0.019880999999999996,0.052579999999999995,0.588,0.729,0.00024056009999999994
9,320193,AAPL,Apple Inc.,2019-09-28,18471336000.0,55256000000.0,260174000000.0,3.781251486914434,53.2599983215332,0.066,0.069,0.197,0.655,0.004554000000000001,0.135,0.0043560000000000005,0.0047610000000000005,0.013002000000000001,0.263,0.332,2.0738916000000003e-05
