,cik,entityName,date,NetIncomeLoss,Revenues,ticker,close
8931,1675149,Alcoa Corp,2016-12-31,-400000000.0,9318000000.0,AA,28.96999931335449
10259,1675149,Alcoa Corp,2017-12-31,279000000.0,11652000000.0,AA,41.5099983215332
13008,1675149,Alcoa Corp,2018-12-31,250000000.0,13403000000.0,AA,31.809999465942383
15637,1675149,ALCOA CORP,2019-12-31,-1125000000.0,10433000000.0,AA,20.350000381469727
18554,1675149,ALCOA CORP,2020-12-31,-170000000.0,9286000000.0,AA,19.899999618530277
22356,1675149,ALCOA CORP,2021-12-31,429000000.0,12152000000.0,AA,46.52999877929688
8824,6201,AMERICAN AIRLINES GROUP INC.,2016-12-31,2584000000.0,40142000000.0,AAL,46.43999862670898
10671,6201,AMERICAN AIRLINES GROUP INC.,2017-12-31,1282000000.0,42622000000.0,AAL,50.4900016784668
14441,6201,AMERICAN AIRLINES GROUP INC.,2018-12-31,1412000000.0,44541000000.0,AAL,40.15999984741211
17206,6201,American Airlines Group Inc.,2019-12-31,1686000000.0,45768000000.0,AAL,28.739999771118164
19596,6201,American Airlines Group Inc.,2020-12-31,-8885000000.0,17337000000.0,AAL,14.130000114440918
22261,6201,American Airlines Group Inc.,2021-12-31,-1993000000.0,29882000000.0,AAL,17.690000534057617
351,1411494,"Apollo Global Management, Inc.",2009-12-31,-155176000.0,966728000.0,AAM-PA,
1290,1411494,"Apollo Global Management, Inc.",2010-12-31,94617000.0,2109898000.0,AAM-PA,
2559,1411494,"Apollo Global Management, Inc.",2011-12-31,-468826000.0,171632000.0,AAM-PA,
3883,1411494,"Apollo Global Management, Inc.",2012-12-31,310957000.0,2859965000.0,AAM-PA,
4291,1411494,"Apollo Global Management, Inc.",2013-12-31,659391000.0,3733571000.0,AAM-PA,
6213,1411494,"Apollo Global Management, Inc.",2014-12-31,168229000.0,1560083000.0,AAM-PA,
6881,1411494,"Apollo Global Management, Inc.",2015-12-31,134497000.0,1041670000.0,AAM-PA,
8244,1411494,"Apollo Global Management, Inc.",2016-12-31,402850000.0,2073562000.0,AAM-PA,
11761,1411494,"Apollo Global Management, Inc.",2017-12-31,629104000.0,2771803000.0,AAM-PA,25.850000381469727
14007,1411494,"Apollo Global Management, Inc.",2018-12-31,-10376000.0,1093065000.0,AAM-PA,22.5
16401,1411494,"Apollo Asset Management, Inc.",2019-12-31,843193000.0,2931849000.0,AAM-PA,26.1200008392334
19789,1411494,"Apollo Asset Management, Inc.",2020-12-31,156614000.0,2354019000.0,AAM-PA,26.100000381469727
23240,1411494,"Apollo Asset Management, Inc.",2021-12-31,1838491000.0,5951598000.0,AAM-PA,25.149999618530277
242,1411494,"Apollo Global Management, Inc.",2009-12-31,-155176000.0,966728000.0,AAM-PB,
1289,1411494,"Apollo Global Management, Inc.",2010-12-31,94617000.0,2109898000.0,AAM-PB,
2561,1411494,"Apollo Global Management, Inc.",2011-12-31,-468826000.0,171632000.0,AAM-PB,
3868,1411494,"Apollo Global Management, Inc.",2012-12-31,310957000.0,2859965000.0,AAM-PB,
4354,1411494,"Apollo Global Management, Inc.",2013-12-31,659391000.0,3733571000.0,AAM-PB,
6196,1411494,"Apollo Global Management, Inc.",2014-12-31,168229000.0,1560083000.0,AAM-PB,
6832,1411494,"Apollo Global Management, Inc.",2015-12-31,134497000.0,1041670000.0,AAM-PB,
8221,1411494,"Apollo Global Management, Inc.",2016-12-31,402850000.0,2073562000.0,AAM-PB,
11749,1411494,"Apollo Global Management, Inc.",2017-12-31,629104000.0,2771803000.0,AAM-PB,
14008,1411494,"Apollo Global Management, Inc.",2018-12-31,-10376000.0,1093065000.0,AAM-PB,22.18000030517578
16402,1411494,"Apollo Asset Management, Inc.",2019-12-31,843193000.0,2931849000.0,AAM-PB,26.5
19791,1411494,"Apollo Asset Management, Inc.",2020-12-31,156614000.0,2354019000.0,AAM-PB,26.920000076293945
23238,1411494,"Apollo Asset Management, Inc.",2021-12-31,1838491000.0,5951598000.0,AAM-PB,26.030000686645508
6110,1555074,ALTISOURCE ASSET MANAGEMENT CORPORATION,2014-12-31,59679000.0,423298000.0,AAMC,
7253,1555074,ALTISOURCE ASSET MANAGEMENT CORPORATION,2015-12-31,-3290000.0,248099000.0,AAMC,
1054,8177,ATLANTIC AMERICAN CORP,2010-12-31,990000.0,106889000.0,AAME,1.899999976158142
